id,description
348883,"This agency offers professional services and primary medical care while adhering to our mission and operating within the scope of our service, we want to make sure that your medical needs are met."
349148,This agency is the local county health department for the county of tate.
349172,Vicksburg residents may access information about government or get answerers to problems Online or by phone through two services offered by the city.
349192,This agency helps prepare taxes
349470,"Provides information and referrals to veterans. These include home loans medical supplies, veterans hospitals"
350982,Provides long term and short term skilled nursing care.
350988,Medical clinic for the uninsured.
350989,Good shepherd community center offers child care for poor and low income families.
351044,This agency accepts volunteers to assist with their Opperation.
351068,This agency is providing food for the poor through a food pantry.
351093,"This agency offers a food pantry, utility assistance, and prescription assistance."
351095,The sol street community center serves hot lunches to anyone 62 and over.
351169,This agency delivers hot meals to home bound and the elderly individuals.
351396,"This agency operates 3 day, 30 day and 90 day programs for the homeless with alcohol and drug problems. Food and a place to stay are provided. This is a Christian based program."
351540,Jackson location of the consumer health education center. Professional staff and trained volunteers help assist the public and health professionals to find Approprate health materials.
351571,Provides nutritional foods to pregnant Women and Children under age six.
351598,This agency offers a program to help people with obtaining and keeping employment.
351747,This agency provides apartments for senior citizens.
351801,This agency provides low income housing for residents of Marshall county.
362916,"Provides an exercise program for all adult cancer survivors to lessen fatigue, reduce side effects of treatment and improve flexibility and balance."
363882,"Provides volunteer opportunities in the fields of crafts, and hobbies, maintenance and yard work."
364502,"Provides childhood, adult and foreign travel immunizations. Provides education on vaccine recommendations and use of electronic immunization registry."
364551,Serves as a community partner program. Provides assistance with filling out applications for financial assistance for snap and other programs.
364570,Provides a hot meal at lunch.
364903,Provides forensic interviews for Children ages 3 through 17 years of ages who are suspected victims of child abuse and coordinates joint interviews.
364982,"Counseling, group support and crisis intervention for Women and Children who are escaping domestic violence, or sexual assault victims."
365111,Educates the community on the issues of physical and sexual child abuse.
365149,Provides individuals and groups with information and referral to local resources and services.
365828,Provides residential treatment for adult male substance abusers. Also offers outpatient treatment for adult males and females.
365970,Provides basic computer training classes.
366304,"Offers parenting education, adoption services, and education and referrals for prenatal care to Women with unplanned pregnancies even if adoption services not needed."
366310,"Serves as a cultural, informational, educational and recreational center. Provides a variety of services and materials, both circulating and reference."
366396,Provides low income apartment housing for people 62 or older.
366588,"Provides physical, occupational and speech therapy services."
367051,"Provide congregate meals at noon Monday through Friday. Pot luck every Friday, jamboree second Monday of every month, games, crafts, computer class."
367069,"Provides meal site for clients 60 years of age and older, also provide home delivered meals to homebound clients need intake on each participants."
367530,"Ged classes, preparation for citizenship examination, English as a second language courses, and conversational Spanish classes are offered. Child care is provided for Children ages 3 to 11."
368056,Provides indigent medical services for residents living in Olney and Throckmorton.
368263,Provides medical care for Matagorda county and surrounding area residents. Matagorda county hospital district provides personal care with responsive medical programs.
368421,Provides acute care hospital to include trauma emergency room. Also contact for jack county indigent care program.
368645,Provides health screenings and cholesterol testing once a month as well as an annual wellness program.
368689,"Features a wellness component with fitness as its focus. Weight room, aerobics studio, and various exercise and dance classes are available."
369095,"Provides the purpose of Rwl is to unite and promote the Rockwall area through service to the community by initiating and supporting civic, study and social events."
369425,Offers sack lunches and continental breakfast for homeless. Also has laundry facilities and will let people use them as a mailing address.
369453,Offer comprehensive outpatient physical rehabilitation services.
369567,"In home intensive case management services to connect families with community resources, which includes advocacy."
369886,"Provides trained volunteers, appointed by a judge, to represent the best interest of a child in the court system who has been a victim of child abuse or neglect."
370093,"Casa volunteers work alongside attorneys and social workers as appointed officers of the court. Casa volunteer is appointed by a judge to advocate, or speak for, a child or Children in foster care."
370208,"Provides subsidized housing for seniors in the, an affordable housing community, section 8."
370387,Provides financial assistance in a dental emergency. Program only assists with tooth extractions.
370470,Provides affordable housing for adults with physical or mental disabilities.
370831,"Provides breast and pap smear exams for Women, Std screenings, counseling and education on contraceptives and pregnancy care."
371523,Provides an alcohol recovery support group for individuals.
372422,"Provides amputees and families a safe place to obtain knowledge and skills necessary to continue their careers, family, social and civic activities."
372818,"Provides emergency financial assistance to active duty and retired soldiers, army reserve national guard and united states army reserve, and family members, widow and eligible orphans."
373281,A consumer managed residential and vocational program designed to offer mental health consumers an independent living and working environment. Maximum capacity is 8 consumers.
373904,"Offers for sale at reduced prices donated clothing, household goods and furniture. All proceeds from purchases are used to fund the adult rehabilitation center."
374566,"Provides wrap around services to seniors focused on health and wellness. Services include educational class, computer instruction, noon meal, exercise, case management, social and cultural activities."
374766,"Assist families toward positive resolution of grief following the death of a child, grandchild, or sibling."
375609,"Provides services such as boat registration, disability parking permits, motor vehicle registration, records, licenses, permits, and voter registration information and offices."
377064,Program specifically designed for Women that have mental health problems and chemical dependency.
377447,"Provides programs, tours, exhibits, and outreach activities. Volunteers needed to conduct to tours and help to develop traveling trunks."
377882,"Provides a four day three night camp designed to help Children learn to cope with their grief in a healing, supportive environment."
378682,"Provides inpatient physical therapy and rehabilitation specializing in stroke, neural debility, and lost independent functioning through injury."
378778,Provides a food pantry for area residents. All assistance is dependent on available funds. Does not offer home deliveries of food.
380313,Provides emergency food and clothing assistance for people of the Vidor community.
380322,Provides subsidized housing units at 5 different locations to individuals and families who qualify based on income.
381265,"The event will feature exhibits promoting health, safety and activities for students of all ages. Will be giving away standardized clothing, backpacks and school supplies, and required inoculations."
381319,Provides financial assistance.
381357,Provide companionship for the patient and possible respite care for caregivers.
381583,Prepares students to take the ged exam.
381611,"Provides different social services for Colonia residents such as, ged classes and case management."
381689,"Provides limited emergency assistance with rent, water, gas and electric and food pantry available for selected zip codes."
381823,"Provides emergency assistance with food, prescription medicine, clothing rent and utilities to local residents experiencing a crisis."
381899,"Provides an ongoing, free bereavement support group for anyone who has experienced the death of a loved one. Group meets at the marble falls public library."
381921,Offers a grief support group
382082,"Offering clothing, household items, furniture and many other items at a much reduced prices."
382116,Provides a resale shop open to the public. Clients in need may receive a store voucher every third month.
382261,"Offers donated clothing, household items, various appliances, furniture and other miscellaneous goods for sale at reduced prices."
382374,"Financial assistance, education skills, counseling, job skills and medical referrals."
382557,"Provides emergency financial assistance in the form of electric payment, rental payment and prescription expense to bridge city and Orangefield residents."
382593,"Provides free training and education to those veterans who require a new career field, job placement assistance and referrals."
382856,Provides acute care and emergency medical services.
383246,"English as a second language, basic literacy, ged and adult basic education."
383407,"Educational program specifically designed to teach parents, Childcare providers, concerned community leaders and educators how to keep Children safe from abduction and Internet lures."
383441,Provides educational classes on ways to resolve and prevent future household hardships.
383772,Provides adults with developmental disabilities a Lifestyle option best suited to their abilities and interests. Respite services available at Cullen residence and willow river farms.
383894,Offers home ownership loans are available to very low and moderate income individuals. Must be able to repay a loan and have fair to good credit. Must not currently own a home.
384809,Provides Hiv testing and sexually transmitted infections screening.
385103,Offers free mammograms.
385218,"Provides free pregnancy test, maternity clothes, referrals and support for those in crisis pregnancy."
385271,"Reduces and prevents issues of runaway, truancy, delinquency, and family conflict."
385291,"Provides a soup kitchen open to the public, each Sunday morning."
385700,"Provide information and assistance consulting, educational opportunities and other services to support the effectiveness of nonprofit organizations."
386082,Provides service to local pantries and clients with emergency referrals from participating agencies.
386089,Provides minor repairs for qualifying homeowners who need assistance with their principal place of residence.
386113,Provides basic clinical services for veterans.
386176,"Provides peer to peer support services to veterans, service members, and their families."
386333,Provides emergency home repairs for elderly and disabled people.
386726,Food pantry available for 75210 only.
386737,"Provides permanent, supportive housing for homeless families with Children wherein a member of said family is disabled."
386763,"Provides permanent subsidized housing to single, disabled, unaccompanied Women."
386799,"Provides occupational, speech and physical therapy services in Zapata county."
391553,"Assist veterans and their families in obtaining local, state and federal benefits. May also refer to drug and alcohol treatment or homeless shelters. Personal loan program available."
391704,Pathways is a home for developmentally and physically disabled individuals.
392321,Provides a residential care apartment complex for up to 12 residents
392697,"Offers a complete line of quality home health and respiratory equipment, from sales and rentals to repairs."
393029,Kellers lake day Camprecreational and leisure activities are planned
393030,Provides a summer camp experience and winter day camp experience
393217,Provides case management services to new veterans returning from combat tours in the global war on terror
396183,Provides child care and programs for Children ages birth to 12 years Olddrop in child care also available
396368,"Provides Christian based counseling and support group for Dysfunctional, compulsive and Addictive behaviors."
396627,"Provides tooth extractions, restorative dental care, preventive dental care, dental hygiene, and dentures"
396813,"Provides assistance with housing, employment, education, and day services for Children and adults with disabilities."
396874,"Provides advocacy by helping persons with disabilities take charge of their life choices, act on their own behalf, and overcome situations that reduce their potential for independence"
397017,"Program participants volunteer at different businesses, help with farm chores, take field trips, Etc. To learn about jobs and skills"
397237,This is a support group for parents of Children and adults with add.
397647,Offers skilled nursing care and rehabilitation.
397782,"Social workers provide intensive individual, family and group therapy to select youth and their families to help them remain in the community."
406988,Provide supportive services for families of Children who have a severe disability and unmet needs. The families decide what goods or services they need.
407276,Provides career and employment assistance to veterans.
407703,"The career fair offers ongoing interviews, job readiness training, job placement and resume writing assistance."
407917,Provides low income Women with free professional clothing for work.
408454,"An employment services program for all veterans, regardless of housing status."
408647,Provides Postsecondary technical education for students who are blind or visually impaired.
409238,"Provides restraining order assistance, criminal justice system support, family law and information, and referrals for victims of domestic and sexual violence."
409379,Meet with a lawyer for fifteen minutes by appointment. Obtain professional advice. Legal services will not be performed.
409600,Winter clothing donations for Children are provided at the schools.
410165,"Class teaches babysitting responsibilities, first aid, behavior management, baby care, safety and business skills."
410254,Hospital delivery and a birthing center
410765,A primary care clinic providing internal medicine and family medicine services for all agesservices include immunizations and general physical examinations
410909,Provides outpatient gastrointestinal diagnostic and therapeutic procedures procedures are typically provided through the use of an Endocope also provides colonoscopies
411039,Free adult primary care clinic
411166,Reach provides Aoda services including assessment and diagnostic evaluations alcohol and drug treatment groups and Owi education groups.
411715,Internal medicine physicians provide primary health care services
412338,Provides meal delivery services for homebound elderly and handicapped persons.
412669,Provides group counseling for domestic violence abusers
412675,Provides sexual assault counseling for Women
412685,Orthopedic care providing surgery and rehabilitation serivces in both inpatient and outpatient Settingspediatric orthopedics
412848,"Provides emergency assistance 24 hours a Daypersonal emergency response system allows wearers to remain at home, ensuring their safety and security"
413110,"A pulmonary rehabilitation program providing supervised exercise, dietary assessment, emotional counseling, education and resource tools, and respiratory therapy services"
414131,Diabetes management and nutrition education and services
414385,"Provides food acquired through donations, canned food drives, food bank programs or direct purchase and distribute the food to people who are in emergency situations."
414531,"Whether with counseling, psychotherapy, psychological evaluation or psychiatry, we help each client cope with the challenges life throws their way."
415676,This class encourages those who live with any chronic condition to better manage symptoms and create a better life style.
416140,"Help for Women to get free mammograms, access to health care."
416238,"Provides summer outdoor community theater performances which are Held at riverside park, Neenah."
416807,"Provides an consignment store where all items are made by senior citizens, giving them a chance to share their unique crafts and also add to their often limited income"
417216,Provides low income housing for families.
417240,"Arbor green apartments accepts section 8 housing vouchers, and has subsidized rental units for families."
417288,"Impact seven, Inc. Is the management company. Rod becker villa has one bedroom housing available for elderly in rib lake."
417408,"Bethel village in Cashton, has independent apartments ideal for mature adults, seniors or people with disabilities."
417434,"Independent living, subsidized housing for older adults. There are 12 subsidized housing units."
417662,Education regarding child passenger safety and the proper installation and use of child passenger safety seats.
417687,Provides car seat installation and support to families expecting a child or who already have a child or Children. Also assists families on Wic who are unable to afford a car seat.
417746,The moraine park technical college career centers provide adults and youth with tools for career planning and job search.
417805,A recorded message gives information on job openings with the city of Madison and how to apply.
425523,Child volunteers are needed to sort donated food and hygiene supplies.
427275,Flu vaccines will be available at the Medford library.
427659,Provides public library services for city of Omro and Winnebago county.
428124,Distributes coats collected during Milton public library donation drive. Distribution begins in October.
429063,"A comprehensive approach to helping teens quit smoking cigarettes. Primarily a school based program, not provides tools and resources for helping teens quit or reduce their smoking."
432195,"A variety of topics will be covered including signs and symptoms, support strategies, suicide prevention, intervention techniques, myths about depression and more."
432364,"The brown county register in probate handles wills and estates, guardianships, trusts and mental health commitment."
432475,Provides social and recreational opportunities for persons with mental illness and their families and friends in Sheboygan county.
432763,"Offers environmental health information and referrals and limited testing for selected indoor water quality, and other environmental problems"
433057,"Gateway technical college counselors are available to guide individuals, and assist in selecting the classes and schedule that will help them meet their goals."
433064,This is an overnight shelter for Women and families.
433175,The service area is primarily clark county.
433302,Program provides foster homes for veterans who wish to remain in their communities and close to their Familiesfoster home providers are also needed
433660,"Provides detoxification, drug testing, and an Antabuse program"
433952,"Provides interactive social times to dads by dads, and their Children birth to 3 years. This program is specifically designed with the needs and priorities of men in mind."
434033,"Volunteer opportunities including office assistance, volunteering in the play shoppes, and assisting with workshops"
434091,"Support group for survivors, caregivers, family and friends affected by a stroke."
434309,This is a support group for adults with add.
434608,Well child physical and developmental assessment
434666,Assists with the establishment of paternity and the collection of child support resolves child support and paternity issues while preserving the family structure.
434681,This is a Caregiver support group.
435359,"Gynecology including birth control counseling and contraception, breast examinations and mammograms, pap tests, and sexually transmitted disease testing and treatment"
435472,Provides bus service to targeted areas beyond standard bus route boundaries and hours. Connects riders from a location outside of the bus route to one of four bus transfer points.
435651,Free pregnancy Testingfree pregnancy Counselingpost abortion Counselingabstinence educationspecialized information and Referralvolunteer based center
439334,American Hellenic progressive association. Elderly housing.
439446,Food pantry and clothing
439798,"Before and after school, day care and preschool for Children 18 months to 12 years old."
440524,"Uscis provides a number of humanitarian programs and protection to assist individuals in need of shelter or aid from disasters, oppression, emergency medical issues and other urgent circumstances."
440873,The family Caregiver support program provides help and resources for those who provide unpaid care to a senior adult or and adult with a disability.
457573,Subsidized housing for seniors and disabled persons. Contact cedar square number after 9am.
458309,Mount olive Lutheran school offers preschool through 8th grade. Missouri synod Lutheran church supported
459209,Corning community school district is a comprehensive public school system that serves preschool through 12th grade. The school year consists of two semesters with 180 student attendance days per year.
460201,"We sell everything your child needs from Newborn through their teen years. From clothing to toys, step in and see our selection."
461309,The Delaware office for the deaf and hard of hearing Dodhh provides citizens who are deaf and hard of hearing have equal accessibility to services and programs in Delaware.
461329,"Lcs offers emergency food, housing, and other services and is open five days week. Altogether lcs distributes food at 14 separate locations in new castle and Sussex counties."
461390,Neurocare cares for the sick by offering a variety of home health care programs. Visits are made Moday to Friday and Saturday and Sunday if needed.
461683,Public elementary school provides afterschool meals to students.
481069,Provides a range of services such as housing choice voucher program.
484477,Offers a thrift store with a large selection of books.
491085,Offers a monthly support group for mothers of twins and triplets.
491515,Offers counseling for families and individuals.
491653,"Prepares and delivers nutritious meal packages to homebound people with aids, cancer or who have a life threatening illness."
491956,Food distribution on the first Saturday of every month.
491990,Offers supplemental food boxes to low income residents of north county twice per month.
493052,"Chavez residential care home is an adult residential facility that serves mentally ill individuals, ages 18 to 59 years."
493170,"Offers a support group for bereaved parents, grandparents, and siblings to help provide resolution following the death of a child of any age and under any circumstances, including suicide."
493233,"Dillards Ii is an adult residential facility that serves mentally ill individuals, ages 18 to 59 years."
493503,Provide financial assistance for people who are interested in pursuing a career in health care or continue their education in health care.
493539,"Provides emergency food, at no cost, to those that are struggling financially. Community service programs are generally presented twice a month, depending on availability of staff."
496879,Inspects and installs child car safety seats. Must have an appointment.
496991,"Offers a variety of workshops for parents with young Children. Workshop topics change frequently, and may include child development, nutrition, health, and safety."
498963,"Offers pastoral counseling for gay, Lesbian, bisexual, and transgendered persons."
498965,"Sells clothes, jewelry, toys, furniture, appliances, books, records, household accessories, and antiques."
499136,Provides a fostering program to rescue abandoned rabbits left at humane society shelters. Finds permanent adoptive homes for rabbits. Offers information and education about rabbits and their care.
499174,"Provides information and referral services to seniors and their families by identifying resources, evaluating needs, and assisting in utilization of resources."
499246,"Offers obstetrics and gynecology, pregnancy and support, groups, labor and delivery, and neonatal intensive care."
499819,"Provides mental health assessments, psychosocial rehabilitation, basic skills training, day treatment, crisis intervention services, and individual, family and group therapy."
500323,"Volunteers provide emotional support, socialization, and human contact that is necessary for the homebound elderly."
500360,Provides social services and mental health programs. Call for more information.
501125,"Offers maternity clothes, allowed once every 60 days, based on emergency need and if available."
501245,"Shelter for homeless Women. This facility has 50 beds available for Women only. Provide a sack lunch, showers and laundry services. Day shelter for extreme weather accommodates 35."
501734,"Provides skilled nursing, physical therapy, occupational therapy, speech therapy, personal care, and social work services."
501905,"Provides childhood, adolescent, and adult immunizations."
501919,"Adults improve reading, writing, and mathematics skills through classroom instruction."
501936,Provides case management for eligible sa residents in facilities.
501937,License and monitor all adult care homes and family care homes in Transylvania county. Also investigate complaints.
501953,"Provides locally trained volunteers who advocate and serve as a resource for residents in adult care homes, family care homes and nursing facilities."
502031,The adult health clinic provides comprehensive medical care for health maintenance and care of those with acute and chronic diseases.
502040,Provides pap smears and breast exams.
502144,"Protects vulnerable adults who may be at risk of abuse, neglect or exploitation because of physical or mental incapacity."
502256,"Open to Children in kindergarten to age 12 and offers homework help, tutoring, swimming lessons, gardening, arts and crafts, and field trips. Transportation is provided from select area schools."
502274,Assists providers in advocacy.
502312,"Provides information, referrals and resource information. Offers transportation assistance for those receiving cancer treatments who have no other means to get to their appointments."
502593,"Provides food, clothing, and household items to those in need. Provides assistance with rent and utilities when funds are available."
502829,"The counseling center provides counseling sessions for individuals, couples and families of las vegas community."
502901,Fresh cooked meals delivered to the home of those in need. Available to anyone who wants the convenience of an easy to heat meal. Kosher meals available.
503096,"Offers advanced obstetrical and gynecological services, from prenatal care to menopause"
503287,"Offers dshs referred services including individual, group and family therapies, intensive clinical Wraparound case management, psychological and psychiatric evaluations, and medication monitoring."
503313,"Provides information, referrals and case management to help families with various needs, access services in the community. Serves zip codes 89003, 89020, 89023, 89041, 89048, 89060, 89061."
503545,The eureka senior center serves congregate meals daily.
503579,Support group for mothers who are breastfeeding.
503628,Connects clients with resources like home and vehicle modifications and assistive technology.
503637,"The store sells items and clothes to the public and is also a resource for individuals in need. Craft supplies, games and other items are given to youth programs for their projects or activities."
503719,Provides instruction and preparation for the ged or high school equivalency diploma test.
503854,Offers rental assistance for individuals or families who are about to be evicted from their home. Utility payment for individuals or families who have a shut off notice.
505232,This church provides a food pantry on the third Friday of each month.
505392,This ministry operates a Christian 65 day residential program for men with substance abuse addictions.
505410,Provides a support group for people with respiratory problems and their families.
505451,Offers a complete package of birthing options.
505480,"Teaches to county adults to read, provides tutoring sessions one time per week."
505629,"Serve Women between the ages of 40 and 64. Provide pap smear tests, instruction on self breast examination, clinical breast exams, and mammograms."
506980,Child placement services for Chilldren strive towards obtaining permanency for foster Children by providing child placement services to Children who need Temporay homes.
507166,Service that provides referrals to local day care providers.
507235,Assists families in paying for child care to enable parents to work or attend school in Cooperation with Bladen county department of social services.
507404,"Food pantry, thrift shop, financial assistance, loan of medical equipment, second chance gowns, pastoral care"
507710,"Kings mountain hospital is located in kings mountain, Nc and has 102 beds."
507814,Aids those who qualify financially in obtaining free medications. Provides layoff assistance.
507833,Story time and reading program offered for Children.
508870,Christmas assistance for needy families in Granville and a limited area in Vance county.
508988,The Sampson crisis center thrift store sells discounted items. Proceeds go to support the ministries of the crisis center.
509030,"Club nova provides a holistic, caring environment designed to promote rehabilitation and reintegration into the community."
509048,Provides mental health care and substance abuse services to all citizens within nash and Edgecombe counties.
509303,Community home care and hospice provides home care and hospice services for the residents of Montgomery county.
509404,Commwell health of harrells provides primary care services to the residents of harrells and surrounding community.
509436,"Provides a place to advertise available job opportunities, enabling immigrants and prospective employers to locate each Otoer without resorting to fee for service Manpower agencies."
509614,"Public transportation for education, medical appointments, and employment."
511108,"The division provides comprehensive diagnostic and treatment services for a wide range of pediatric developmental, behavioral and psychiatric illnesses, including alcohol and substance abuse."
511313,"Identifies students academic, behavior problems early, intervenes quickly and efficiently."
511505,Primary care services for veterans in the Durham area.
511652,A facilitator conducts group sessions with at risk youth using an abstinence based curriculum to encourge young people to make wise choices regarding the prevention of pregnancy.
513983,Provides free pregnancy tests
514322,Assists individuals and families with food pantry and crisis financial assistance
514715,Hart is a community theater which owns and operates the performing arts center at the Sheldon house.
514721,"Enhances life of Haywood county residents through arts, inspire all ages, promote regional art and artist, offer cultural opportunities"
514757,"Provides schooling and day care for Children ages 6 months to 5 years of age at Greengrove Headstart, rex Rennert Headstart and Allenton Headstart."
514797,"Outpatient mental health, substance abuse, Dwi and other services."
515134,"Workshops in English as a second language and cross cultural communication, and other courses to enhance English understanding"
515187,"The local affiliate of prevent child abuse north Carolina, is committed to strengthening area families and preventing child abuse through family Suport and parent education programs."
515249,"This church provides a food pantry. Please call before coming to the church, as food supplies are sometimes low."
515381,"To provide education, counseling and birth control methods to men and Women of childbearing age."
515427,"Provides education and support for parents, resources and support for parents with Children of all abilities."
515586,"Offers financial assistance with cancer medications, Ostomy supplies, and nutritional supplements for cancer patients who are eligible."
515661,"First step farm of Wnc, Inc. Is a licensed residential supervised living center for substance dependent adults, serving all 100 counties of north Carolina."
515674,"Firsthealth Richmond memorial hospital provides emergency, inpatient, and outpatient care for the residents of Richmond county and surrounding areas."
515878,Provides a food pantry to anyone in need.
515894,Offers a community center that helps with clothing and linens. Items are provided for free to those in need. No financial assistance is available.
515928,Emergency food distribution agency serving residents of Surry county who are food insecure.
517698,Educational programs focused on disease prevention and chronic disease self management.
517983,"Features an outdoor basketball court, lighted baseball field, playground, rest rooms and a concession stand."
519504,"Provides relief to victims of disasters and helps people prevent, prepare for, and respond to emergencies. Provides Cpr certification, first aid courses, and blood donation services."
519699,Runs a thrift store offering clothing and household items at very reasonable prices.
520969,Madison county health consortium is partnership that promotes community collaboration to improve the health of Madison county citizens.
521044,"A skilled nursing Facilty for long term care and short term Rehab offering physical, occupational, and Speach therapy. We also offer respite services."
521068,Provides low income housing through 47 apartment units on scattered sites. Call for details about different units.
521154,Matthew 25 ministries provides emergency food boxes and clothing to those in need.
521297,"To pay medical expenses for income and reserve eligible aged, blind and disabled persons."
521397,"Provide medical equipment such as walkers, wheelchairs, crutches, bedside commodes, Etc. For loan to senior adults age 55 and older at no cost to them."
521485,"Services include an emergency Psychotropic medication fund, support groups, operation Santa claus, and education and awareness campaigns."
521607,"Offers food, clothing, diapers, baby formula, household items, personal care items, counseling and community referrals to those who are poor and needy."
521612,"To provide instruction in reading, writing and math skills, prepare students for ged test and provide Esl instruction."
521777,This church operates a food pantry and a thrift shop.
521804,"The Moyock library has a popular reading collection for adults, teens and Children in addition to numerous special collections."
521810,"Provides home health and hospice services to residents of Alleghany, Ashe and Watauga counties."
522907,"Provides vocational rehabilitation services to individuals who have a physical, mental, learning disability or emotional impairment that affects their ability to obtain or maintain employment."
523029,"The new beginnings birth center provides child and maternity services, including prenatal classes, a lactation clinic and education on lactation."
523349,To improve the quality of life in their communities by addressing the special needs of promising adolescent black males.
523568,Trained volunteers matched with parents of newborns to provide ongoing telephone support.
524758,Spay neuter Charlotte offers free pet food to anyone in need.
524796,"Provides science and mathematics day camps for middle and high school students, as well as research apprenticeships for student. No student turned away for financial reasons."
524800,"Comprehensive breast health program, breast cancer prevention and support program."
524851,"Addresses issues of substance abuse, Domoestic violence, depression, sexual assault and childhood sexual abuse. Case management services and a variety of support groups available."
524941,Provides nonclinical preventive dental health services including dental screening and referral for school age and preschool Children within Forsyth county
524964,"Offers a full range of sports, athletics, and fitness programs, after school and day camp programs."
525211,The department of public health offers obstetric care for pregnant Women who specify franklin county health department as their primary provider.
525287,"Provides employment services, unemployment insurance and labor market information. Also serves as a job link career center."
525375,Provides free prescription drugs to qualified persons.
525963,"One of the Largest charitable and social service organizations in the world, the salvation army has been serving the people of wake county since 1887."
527668,Food pantry serving brunswick county residents every second and fourth Monday of the month.
527889,"Loans medical or hospital equipment such as walkers, wheelchairs, canes, shower chairs, incontinence supplies, and other items."
527992,"New life opportunities for Women released from prison. The Stepout program serves Women 21 years or older entering our community from prison by providing classes, counseling and support."
528104,"Supervised care, staff organized, summer day camp at location and field trips."
528157,"Offers safe and confidential meetings led by professional facilitators to share information, experience and knowledge, and to build mutually supportive emotional and social networks."
528378,Provides psychiatric and substance abuse stabilization.
529670,Transportation provided to cancer treatments for clients in Forsyth county.
529787,Triangle counseling agency offers behavioral and mental health counseling for Children and adults with Medicaid.
529808,"Provides education, screening and treatment for tuberculosis disease and infection."
530039,Assists veterans and their families or survivors through the Paperwork necessary to obtain benefits.
530206,Acts as a labor exchange to help individuals find employment and employers find workers.
530392,"The wellness academy offers a variety of classes in mental health recovery. Classes include wellness recovery action plan wrap, food for wellness, anger management, creative writing and art, and more."
530847,Monthly income based on family size. Medical assistance is included. Income and resources limits apply.
530971,"To put Christian principles into practice through programs that build healthy spirit, mind and body for all."
531950,Provide Medicare special needs plans designed for people with certain chronic diseases or health needs.
531992,Engages and links volunteers to opportunities agencies addressing needs in the community.
532166,Provide education information to citizens about agriculture and natural resources.
532526,"Congresos tax site, which is run by volunteers, utilizes the benefit bank as its system to complete tax returns for individuals and families."
533371,"Offers free Hotline counseling, a national network of support groups, referrals to Healthcare professionals, education and prevention programs."
533375,Free mental health counseling in exchange for community service.
533455,Provides inpatient services for men and Women.
533803,Provides information on job training.
533819,A licensed drug and alcohol treatment facility for men.
533881,Substance abuse education
534093,"Provides the general public and professionals with information about lead, lead hazards, and their prevention."
534520,Childcare for medically fragile Children needing skilled nursing care
534552,Information and support for military families with Children with special needs
536228,Affordable housing units for seniors. Small pets allowed.
536391,Skilled nursing facility.
536556,"The overall goal of the villa is to help each patient develop and maintain a sober, productive Lifestyle."
536647,Provides free or low cost counseling for parents and teens.
536662,Rochester food pantry provides food to those in need.
536734,Offers an animal shelter and free behavior help for pets.
537552,A support group for Women with heart disease.
537593,Provides head start program
537753,"The Bridgeville public library provides free access to a variety of materials, programs, and services in a friendly and welcoming environment."
538060,Scchs is dedicated to providing safe and secure temporary housing to the homeless while facilitating housing independence
538286,"A support discussion group for Transgender identified persons 18 years and older. Held in Rockland county, Ny, Transgender persons from other communities are most welcome."
540562,Offers an interpreter to provide services to deaf persons during the meeting. Call for information.
541051,"Provides a day camp experience that includes field trips, swimming, crafts, guest speakers and more. Participants need to bring their own lunch."
541140,Offers a cooling center for those to escape the extreme heat. No pets.
541208,"Sells, rents, and repairs many kinds of durable medical equipment and supplies for those in need, accepts Medicaid and Medicare."
541381,Offers a choice food pantry. Limited supplies of diapers may be available.
541451,"Offers students aptitude testing, preparation for college entrance exams, and proficiency test preparation. Tutoring offered for students who are having academic difficulties."
541463,Provides proficiency test preparation during the school day for enrolled students.
541472,Provides emergency food assistance to those in need.
541750,"Provides physician referrals within Trihealth facilities. Also, provides information about various available health education classes."
541841,Provides day camps for Children with and without disabilities. Children with disabilities and those without disabilities attend the same camp.
541968,Provides library services to the community.
542088,Records notary commissions and maintains the records of all notary commissions registered in Ashland county and keeps signatures on file.
542308,Offers resources and education for corporations and organizations to help improve wellness of employees.
544392,"Provides a summer day camp for youth. Offers free play, arts and crafts, educational games, computers, indoor swimming and more."
544492,Provides a faith based 12 step program for individuals of all ages. Childcare is provided.
544495,Offering benefits screening and voter registration services to area residents.
544523,"Provides a variety of recreational activities during the summer months. Activities include, but are not limited to, tennis, swimming, aerobics, gymnastics, youth swim team, and special events."
544790,Provides diagnostic assessments and counseling for a variety of mental health issues. Individual and family sessions are available.
544802,"Accepts donations of new and used office equipment, furniture, and supplies. Donated items are never Resold."
545007,Program is a counselor assisted benefit bank site that assist individuals with public benefit eligibility screening and benefit applications.
545051,"Provides van transportation to medical appointments, shopping centers, grocery stores, banks, personal appointments, errands, and the senior centers."
545216,"Provides a one on one mentoring program, matching male youths with adults who are a positive role models. Focus is on helping the youth make positive life choices."
545411,Provides blood pressure screening for seniors.
545447,Provides Insruction in using a computer effectively.
545478,Provides fire protection and prevention services for the city of seven hills. Offers Cpr classes.
545787,"Strives to improve the nutritional status of mothers, infants, and Children during critical stages of growth and development by providing nutrition education and a supplemental food program."
545832,Provides professional education throughout the year.
545898,Provides service and hearing dogs to people with disabilities and provides dogs for adoption.
545900,"Provides the services of an animal warden. Will kennel lost animals for a short period of time, provides animal control and rescue services, and offers animal adoption."
545950,"Provides financial, food stamp, and Medicaid assistance to qualifying families who participate in required work activities."
